====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 300 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  5447.85E-05  5447.85E-05
400010.E-03  1577.22E-03  1577.22E-03
600010.E-03  3752.95E-04  3752.95E-04
800010.E-03  9479.62E-05  9479.62E-05
100001.E-02  1305.27E-04  1305.27E-04
120001.E-02  1217.24E-04  1217.24E-04
140001.E-02  1564.22E-04  1564.22E-04
160001.E-02  3011.29E-04  3011.29E-04
180001.E-02  3314.37E-04  3314.37E-04
200001.E-02  1255.50E-03  1255.50E-03
220001.E-02  3434.16E-04  3434.16E-04
240001.E-02  5415.07E-04  5415.07E-04
260001.E-02  2303.10E-04  2303.10E-04
280001.E-02  4002.43E-04  4002.43E-04
300001.E-02  7816.66E-04  7816.66E-04
320001.E-02  6024.43E-04  6024.43E-04
340001.E-02  3102.09E-03  3102.09E-03
360001.E-02  1877.64E-03  1877.64E-03
380001.E-02  5694.89E-04  5694.89E-04
400001.E-02  4754.02E-04  4754.02E-04
420001.E-02  4862.72E-04  4862.72E-04
440001.E-02  5105.72E-04  5105.72E-04
460001.E-02  1419.26E-03  1419.26E-03
480001.E-02  1237.56E-03  1237.56E-03
500001.E-02  9472.91E-04  9472.91E-04
520001.E-02  2123.09E-03  2123.09E-03
540001.E-02  2561.32E-03  2561.32E-03
560001.E-02  1783.19E-03  1783.19E-03
580001.E-02  7707.51E-04  7707.51E-04
600001.E-02  1772.27E-03  1772.27E-03
620001.E-02  2884.63E-03  2884.63E-03
640001.E-02  1238.44E-03  1238.44E-03
660001.E-02  3110.52E-03  3110.52E-03
680001.E-02  1427.24E-03  1427.24E-03
700001.E-02  2035.43E-03  2035.43E-03
720001.E-02  2640.17E-03  2640.17E-03
740001.E-02  1414.29E-03  1414.29E-03
760001.E-02  1198.91E-03  1198.91E-03
780001.E-02  6561.30E-04  6561.30E-04
800001.E-02  9794.15E-04  9794.15E-04
820001.E-02  4555.75E-04  4555.75E-04
840001.E-02  6781.77E-04  6781.77E-04
860001.E-02  2670.69E-04  2670.69E-04
880001.E-02  1441.37E-04  1441.37E-04
900001.E-02  0000.00E+00  0000.00E+00
920001.E-02  0000.00E+00  0000.00E+00
940001.E-02  0000.00E+00  0000.00E+00
960001.E-02  0000.00E+00  0000.00E+00
980001.E-02  0000.00E+00  0000.00E+00
100000.E-01  0000.00E+00  0000.00E+00
102000.E-01  0000.00E+00  0000.00E+00
104000.E-01  0000.00E+00  0000.00E+00
106000.E-01  0000.00E+00  0000.00E+00
108000.E-01  0000.00E+00  0000.00E+00
110000.E-01  0000.00E+00  0000.00E+00
112000.E-01  0000.00E+00  0000.00E+00
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
