====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 500 keV
============= TARGET MATERIAL ======================================
Layer 1 : Ni
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000025.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  6552.34E-02  1407.47E-05
400010.E-03  6611.12E-02  1031.05E-05
600010.E-03  6567.82E-02  2058.46E-05
800010.E-03  6657.44E-02  5235.64E-06
100001.E-02  6728.85E-02  9843.86E-05
120001.E-02  6721.23E-02  5414.16E-06
140001.E-02  6523.88E-02  1054.60E-05
160001.E-02  6324.07E-02  2301.90E-05
180001.E-02  6050.80E-02  5619.82E-06
200001.E-02  5868.16E-02  2586.72E-05
220001.E-02  6200.12E-02  5413.82E-06
240001.E-02  6021.44E-02  1331.31E-05
260001.E-02  6104.79E-02  1425.26E-05
280001.E-02  5838.58E-02  1164.43E-04
300001.E-02  5519.87E-02  1769.58E-05
320001.E-02  5719.82E-02  3603.39E-05
340001.E-02  5825.00E-02  6731.54E-06
360001.E-02  5561.20E-02  1165.50E-05
380001.E-02  5585.30E-02  1106.31E-04
400001.E-02  5524.43E-02  1462.95E-05
420001.E-02  5599.88E-02  9781.28E-05
440001.E-02  5599.76E-02  1198.75E-05
460001.E-02  5519.40E-02  9571.53E-05
480001.E-02  5429.49E-02  1652.08E-04
500001.E-02  5090.73E-02  1794.79E-05
520001.E-02  5165.29E-02  4178.44E-05
540001.E-02  5094.22E-02  4261.35E-05
560001.E-02  5279.31E-02  2793.99E-04
580001.E-02  4992.55E-02  7165.81E-05
600001.E-02  4802.91E-02  1180.95E-05
620001.E-02  4776.42E-02  4255.28E-05
640001.E-02  4545.01E-02  1654.93E-05
660001.E-02  4898.27E-02  1111.00E-04
680001.E-02  4606.05E-02  9019.98E-05
700001.E-02  4413.55E-02  2631.23E-04
720001.E-02  4062.46E-02  7031.01E-04
740001.E-02  3653.99E-02  7131.68E-05
760001.E-02  3899.54E-02  1198.65E-04
780001.E-02  3530.40E-02  2309.46E-04
800001.E-02  3471.27E-02  1795.52E-04
820001.E-02  3401.42E-02  1055.19E-04
840001.E-02  3375.49E-02  2398.88E-04
860001.E-02  2692.07E-02  5558.52E-04
880001.E-02  2620.15E-02  4000.66E-04
900001.E-02  2851.96E-02  5672.82E-04
920001.E-02  2830.62E-02  5621.83E-04
940001.E-02  1890.15E-02  5625.55E-04
960001.E-02  2209.47E-02  3270.08E-04
980001.E-02  1672.30E-02  5386.71E-04
100000.E-01  1864.52E-02  3831.85E-04
102000.E-01  7650.78E-03  2581.75E-04
104000.E-01  8213.46E-03  3963.86E-04
106000.E-01  4164.13E-03  1362.88E-04
108000.E-01  1776.97E-03  1458.37E-04
110000.E-01  1206.71E-03  4534.73E-05
112000.E-01  9825.74E-04  8561.86E-05
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
