====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  281922.E-07  860510.E-07
400010.E-03  253990.E-07  705193.E-07
600010.E-03  260237.E-07  128465.E-06
800010.E-03  263585.E-07  452811.E-07
100001.E-02  269516.E-07  405596.E-06
120001.E-02  294839.E-07  473812.E-07
140001.E-02  285526.E-07  754007.E-07
160001.E-02  297204.E-07  145443.E-06
180001.E-02  227637.E-07  503900.E-07
200001.E-02  270214.E-07  167719.E-06
220001.E-02  301842.E-07  468580.E-07
240001.E-02  351407.E-07  993928.E-07
260001.E-02  244806.E-07  103288.E-06
280001.E-02  262533.E-07  526451.E-06
300001.E-02  236581.E-07  123021.E-06
320001.E-02  369774.E-07  218223.E-06
340001.E-02  467163.E-07  548142.E-07
360001.E-02  426380.E-07  864111.E-07
380001.E-02  396424.E-07  476109.E-06
400001.E-02  374183.E-07  105515.E-06
420001.E-02  419263.E-07  465022.E-06
440001.E-02  488608.E-07  902834.E-07
460001.E-02  450923.E-07  465261.E-06
480001.E-02  471678.E-07  655006.E-06
500001.E-02  460273.E-07  132461.E-06
520001.E-02  462012.E-07  245833.E-06
540001.E-02  463282.E-07  256792.E-06
560001.E-02  421478.E-07  111621.E-05
580001.E-02  518625.E-07  425978.E-06
600001.E-02  634974.E-07  979914.E-07
620001.E-02  498495.E-07  281257.E-06
640001.E-02  606282.E-07  128440.E-06
660001.E-02  106304.E-06  650130.E-06
680001.E-02  156377.E-06  551596.E-06
700001.E-02  169234.E-06  140772.E-05
720001.E-02  140602.E-06  252887.E-05
740001.E-02  998654.E-07  443025.E-06
760001.E-02  197767.E-06  775966.E-06
780001.E-02  907130.E-07  113759.E-05
800001.E-02  106018.E-06  101669.E-05
820001.E-02  134536.E-06  659971.E-06
840001.E-02  147945.E-06  124594.E-05
860001.E-02  154296.E-06  207364.E-05
880001.E-02  230400.E-06  195180.E-05
900001.E-02  238851.E-06  261627.E-05
920001.E-02  380079.E-06  299129.E-05
940001.E-02  230264.E-06  256069.E-05
960001.E-02  380415.E-06  198468.E-05
980001.E-02  504182.E-06  313193.E-05
100000.E-01  619035.E-06  245463.E-05
102000.E-01  313266.E-06  161120.E-05
104000.E-01  490183.E-06  236605.E-05
106000.E-01  171781.E-06  823806.E-06
108000.E-01  135101.E-06  790229.E-06
110000.E-01  112857.E-06  304433.E-06
112000.E-01  627518.E-07  511158.E-06
114000.E-01  000000.E+00  000000.E+00
116000.E-01  000000.E+00  000000.E+00
118000.E-01  000000.E+00  000000.E+00
120000.E-01  000000.E+00  000000.E+00
122000.E-01  000000.E+00  000000.E+00
124000.E-01  000000.E+00  000000.E+00
126000.E-01  000000.E+00  000000.E+00
128000.E-01  000000.E+00  000000.E+00
130000.E-01  000000.E+00  000000.E+00
132000.E-01  000000.E+00  000000.E+00
134000.E-01  000000.E+00  000000.E+00
136000.E-01  000000.E+00  000000.E+00
138000.E-01  000000.E+00  000000.E+00
140000.E-01  000000.E+00  000000.E+00
142000.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
146000.E-01  000000.E+00  000000.E+00
148000.E-01  000000.E+00  000000.E+00
150000.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
154000.E-01  000000.E+00  000000.E+00
156000.E-01  000000.E+00  000000.E+00
158000.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
162000.E-01  000000.E+00  000000.E+00
164000.E-01  000000.E+00  000000.E+00
166000.E-01  000000.E+00  000000.E+00
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
