====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  5870.54E-02  5870.54E-02
400010.E-03  1053.23E-01  1053.23E-01
600010.E-03  1490.01E-01  1490.01E-01
800010.E-03  7561.04E-02  7561.04E-02
100001.E-02  2786.22E-02  2786.22E-02
120001.E-02  4163.66E-02  4163.66E-02
140001.E-02  2689.53E-02  2689.53E-02
160001.E-02  3291.45E-02  3291.45E-02
180001.E-02  9394.81E-02  9394.81E-02
200001.E-02  7418.97E-02  7418.97E-02
220001.E-02  3186.99E-02  3186.99E-02
240001.E-02  3213.97E-02  3213.97E-02
260001.E-02  4046.16E-02  4046.16E-02
280001.E-02  3233.83E-02  3233.83E-02
300001.E-02  4143.66E-02  4143.66E-02
320001.E-02  2419.37E-02  2419.37E-02
340001.E-02  4617.25E-02  4617.25E-02
360001.E-02  7716.82E-02  7716.82E-02
380001.E-02  2297.30E-02  2297.30E-02
400001.E-02  1607.28E-02  1607.28E-02
420001.E-02  1666.85E-01  1666.85E-01
440001.E-02  4561.01E-02  4561.01E-02
460001.E-02  7964.99E-02  7964.99E-02
480001.E-02  7115.59E-02  7115.59E-02
500001.E-02  7692.94E-02  7692.94E-02
520001.E-02  2175.41E-01  2175.41E-01
540001.E-02  9655.14E-02  9655.14E-02
560001.E-02  2491.90E-01  2491.90E-01
580001.E-02  8183.56E-02  8183.56E-02
600001.E-02  3845.19E-02  3845.19E-02
620001.E-02  9925.26E-02  9925.26E-02
640001.E-02  2587.81E-01  2587.81E-01
660001.E-02  2312.92E-01  2312.92E-01
680001.E-02  7550.06E-02  7550.06E-02
700001.E-02  1776.30E-01  1776.30E-01
720001.E-02  1362.38E-01  1362.38E-01
740001.E-02  2694.80E-01  2694.80E-01
760001.E-02  1011.63E-01  1011.63E-01
780001.E-02  1109.97E-01  1109.97E-01
800001.E-02  2377.26E-01  2377.26E-01
820001.E-02  1514.42E-01  1514.42E-01
840001.E-02  1073.00E-01  1073.00E-01
860001.E-02  1231.26E-01  1231.26E-01
880001.E-02  1081.15E-01  1081.15E-01
900001.E-02  1263.37E-01  1263.37E-01
920001.E-02  1305.01E-01  1305.01E-01
940001.E-02  2319.91E-01  2319.91E-01
960001.E-02  7269.59E-02  7269.59E-02
980001.E-02  1646.52E-01  1646.52E-01
100000.E-01  9514.65E-02  9514.65E-02
102000.E-01  2285.70E-01  2285.70E-01
104000.E-01  1284.98E-01  1284.98E-01
106000.E-01  1143.35E-01  1143.35E-01
108000.E-01  1318.19E-01  1318.19E-01
110000.E-01  1273.90E-01  1273.90E-01
112000.E-01  9236.84E-02  9236.84E-02
114000.E-01  1239.20E-01  1239.20E-01
116000.E-01  2522.84E-01  2522.84E-01
118000.E-01  2486.91E-01  2486.91E-01
120000.E-01  9378.47E-02  9378.47E-02
122000.E-01  2178.95E-02  2178.95E-02
124000.E-01  5889.86E-02  5889.86E-02
126000.E-01  2308.23E-02  2308.23E-02
128000.E-01  1293.29E-02  1293.29E-02
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
