====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Ni
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000025.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  1769.33E-01  2276.32E-02
400010.E-03  1778.82E-01  5301.76E-03
600010.E-03  1990.13E-01  9899.53E-02
800010.E-03  2061.89E-01  2872.38E-02
100001.E-02  1806.36E-01  6712.34E-03
120001.E-02  1891.58E-01  8243.05E-03
140001.E-02  1755.62E-01  8985.48E-03
160001.E-02  1855.95E-01  7311.42E-03
180001.E-02  1748.69E-01  3484.15E-02
200001.E-02  1888.70E-01  2232.96E-02
220001.E-02  1892.36E-01  7992.21E-03
240001.E-02  1888.43E-01  7587.46E-03
260001.E-02  1827.14E-01  9884.01E-03
280001.E-02  1787.64E-01  7363.23E-03
300001.E-02  1805.31E-01  1130.57E-02
320001.E-02  1790.71E-01  5102.99E-03
340001.E-02  1897.93E-01  1201.22E-02
360001.E-02  1697.71E-01  2211.25E-02
380001.E-02  1726.59E-01  5066.42E-03
400001.E-02  1794.19E-01  3501.21E-03
420001.E-02  1559.63E-01  7206.56E-02
440001.E-02  1575.42E-01  1275.35E-02
460001.E-02  1689.99E-01  2698.59E-02
480001.E-02  1788.90E-01  2274.77E-02
500001.E-02  1825.02E-01  2009.46E-02
520001.E-02  1539.40E-01  9404.43E-02
540001.E-02  1614.84E-01  3565.41E-02
560001.E-02  1721.25E-01  1272.35E-01
580001.E-02  1595.88E-01  2431.86E-02
600001.E-02  1575.57E-01  8623.12E-03
620001.E-02  1572.26E-01  3227.62E-02
640001.E-02  1452.34E-01  1051.58E-01
660001.E-02  1505.47E-01  9832.23E-02
680001.E-02  1441.93E-01  2107.10E-02
700001.E-02  1562.58E-01  7407.80E-02
720001.E-02  1353.39E-01  4157.68E-02
740001.E-02  1334.79E-01  1158.36E-01
760001.E-02  1341.07E-01  3542.80E-02
780001.E-02  1288.40E-01  3599.42E-02
800001.E-02  1272.84E-01  1081.06E-01
820001.E-02  1148.24E-01  4965.75E-02
840001.E-02  1130.60E-01  3034.25E-02
860001.E-02  1035.14E-01  2705.20E-02
880001.E-02  1022.63E-01  4099.47E-02
900001.E-02  1060.57E-01  3809.29E-02
920001.E-02  9551.46E-02  3427.42E-02
940001.E-02  8304.89E-02  9603.79E-02
960001.E-02  8575.32E-02  1874.21E-02
980001.E-02  7082.97E-02  6042.77E-02
100000.E-01  7306.43E-02  2521.16E-02
102000.E-01  6974.71E-02  1010.19E-01
104000.E-01  6708.40E-02  3576.13E-02
106000.E-01  4900.47E-02  3339.35E-02
108000.E-01  4892.00E-02  4270.20E-02
110000.E-01  4654.99E-02  3940.84E-02
112000.E-01  3852.82E-02  2660.54E-02
114000.E-01  3843.99E-02  3961.51E-02
116000.E-01  3138.89E-02  9471.84E-02
118000.E-01  2941.37E-02  8370.27E-02
120000.E-01  1350.63E-02  2668.08E-02
122000.E-01  7228.93E-03  5571.13E-03
124000.E-01  4889.50E-03  1906.99E-02
126000.E-01  3093.29E-03  6201.27E-03
128000.E-01  8869.06E-04  3052.11E-03
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
