====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  490658.E-06  355309.E-04
400010.E-03  466632.E-06  179604.E-04
600010.E-03  434680.E-06  132899.E-03
800010.E-03  470840.E-06  475860.E-04
100001.E-02  503388.E-06  218503.E-04
120001.E-02  469789.E-06  257021.E-04
140001.E-02  488211.E-06  267875.E-04
160001.E-02  543314.E-06  221363.E-04
180001.E-02  520454.E-06  635879.E-04
200001.E-02  423922.E-06  511783.E-04
220001.E-02  557138.E-06  256496.E-04
240001.E-02  503671.E-06  246652.E-04
260001.E-02  528120.E-06  314307.E-04
280001.E-02  584115.E-06  253472.E-04
300001.E-02  449997.E-06  309482.E-04
320001.E-02  537242.E-06  189837.E-04
340001.E-02  552875.E-06  350720.E-04
360001.E-02  479521.E-06  542173.E-04
380001.E-02  499340.E-06  187948.E-04
400001.E-02  516191.E-06  140067.E-04
420001.E-02  471043.E-06  945372.E-04
440001.E-02  512359.E-06  319956.E-04
460001.E-02  451736.E-06  554054.E-04
480001.E-02  510741.E-06  489270.E-04
500001.E-02  557154.E-06  557880.E-04
520001.E-02  534895.E-06  124123.E-03
540001.E-02  454668.E-06  620886.E-04
560001.E-02  530436.E-06  121992.E-03
580001.E-02  485275.E-06  591035.E-04
600001.E-02  511203.E-06  289325.E-04
620001.E-02  530948.E-06  686766.E-04
640001.E-02  525718.E-06  153584.E-03
660001.E-02  454178.E-06  133984.E-03
680001.E-02  611005.E-06  534007.E-04
700001.E-02  606200.E-06  106045.E-03
720001.E-02  567667.E-06  891077.E-04
740001.E-02  653992.E-06  155864.E-03
760001.E-02  679811.E-06  710403.E-04
780001.E-02  643044.E-06  753271.E-04
800001.E-02  663159.E-06  129613.E-03
820001.E-02  721604.E-06  995623.E-04
840001.E-02  756662.E-06  815418.E-04
860001.E-02  568046.E-06  687041.E-04
880001.E-02  657137.E-06  901390.E-04
900001.E-02  876993.E-06  945991.E-04
920001.E-02  908907.E-06  962075.E-04
940001.E-02  593227.E-06  135106.E-03
960001.E-02  619802.E-06  570838.E-04
980001.E-02  502249.E-06  104791.E-03
100000.E-01  622282.E-06  666730.E-04
102000.E-01  588277.E-06  132067.E-03
104000.E-01  623184.E-06  934320.E-04
106000.E-01  544563.E-06  809523.E-04
108000.E-01  472344.E-06  898726.E-04
110000.E-01  554294.E-06  883176.E-04
112000.E-01  489936.E-06  663234.E-04
114000.E-01  572694.E-06  850135.E-04
116000.E-01  947346.E-06  155634.E-03
118000.E-01  937563.E-06  169001.E-03
120000.E-01  468307.E-06  675250.E-04
122000.E-01  117636.E-06  164979.E-04
124000.E-01  172845.E-06  400115.E-04
126000.E-01  105136.E-06  169890.E-04
128000.E-01  145649.E-06  100275.E-04
130000.E-01  000000.E+00  000000.E+00
132000.E-01  000000.E+00  000000.E+00
134000.E-01  000000.E+00  000000.E+00
136000.E-01  000000.E+00  000000.E+00
138000.E-01  000000.E+00  000000.E+00
140000.E-01  000000.E+00  000000.E+00
142000.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
146000.E-01  000000.E+00  000000.E+00
148000.E-01  000000.E+00  000000.E+00
150000.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
154000.E-01  000000.E+00  000000.E+00
156000.E-01  000000.E+00  000000.E+00
158000.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
162000.E-01  000000.E+00  000000.E+00
164000.E-01  000000.E+00  000000.E+00
166000.E-01  000000.E+00  000000.E+00
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
