====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
 Total Target Vacancies     = 11836 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2720.00E-05  4448.31E-04  
400010.E-03  3020.00E-05  2075.49E-04  
600010.E-03  3240.00E-05  1738.08E-03  
800010.E-03  3040.00E-05  6026.84E-04  
100001.E-02  2920.00E-05  2585.83E-04  
120001.E-02  3140.00E-05  3103.96E-04  
140001.E-02  3260.00E-05  3232.86E-04  
160001.E-02  3160.00E-05  2624.42E-04  
180001.E-02  3160.00E-05  8137.43E-04  
200001.E-02  3520.00E-05  6457.92E-04  
220001.E-02  3160.00E-05  3091.01E-04  
240001.E-02  3420.00E-05  2932.31E-04  
260001.E-02  3260.00E-05  3834.27E-04  
280001.E-02  3320.00E-05  3013.68E-04  
300001.E-02  3960.00E-05  3743.61E-04  
320001.E-02  3340.00E-05  2169.03E-04  
340001.E-02  3440.00E-05  4308.29E-04  
360001.E-02  3760.00E-05  6843.49E-04  
380001.E-02  3480.00E-05  2133.84E-04  
400001.E-02  3400.00E-05  1504.49E-04  
420001.E-02  3660.00E-05  1221.90E-03  
440001.E-02  3240.00E-05  3922.29E-04  
460001.E-02  3200.00E-05  7056.26E-04  
480001.E-02  3080.00E-05  6190.52E-04  
500001.E-02  4300.00E-05  6976.89E-04  
520001.E-02  3340.00E-05  1618.26E-03  
540001.E-02  3240.00E-05  7930.48E-04  
560001.E-02  2860.00E-05  1594.84E-03  
580001.E-02  3520.00E-05  7509.95E-04  
600001.E-02  3300.00E-05  3480.36E-04  
620001.E-02  3340.00E-05  8790.47E-04  
640001.E-02  3480.00E-05  2010.08E-03  
660001.E-02  3980.00E-05  1744.82E-03  
680001.E-02  3780.00E-05  6715.27E-04  
700001.E-02  4260.00E-05  1368.53E-03  
720001.E-02  4340.00E-05  1142.46E-03  
740001.E-02  4760.00E-05  2026.72E-03  
760001.E-02  5200.00E-05  8919.96E-04  
780001.E-02  4600.00E-05  9551.38E-04  
800001.E-02  4780.00E-05  1678.10E-03  
820001.E-02  5400.00E-05  1269.65E-03  
840001.E-02  5740.00E-05  1026.22E-03  
860001.E-02  4400.00E-05  8696.40E-04  
880001.E-02  5660.00E-05  1144.79E-03  
900001.E-02  7460.00E-05  1182.21E-03  
920001.E-02  6900.00E-05  1211.60E-03  
940001.E-02  5060.00E-05  1748.90E-03  
960001.E-02  4160.00E-05  7158.82E-04  
980001.E-02  3900.00E-05  1355.44E-03  
100000.E-01  4880.00E-05  8376.22E-04  
102000.E-01  4660.00E-05  1710.73E-03  
104000.E-01  5600.00E-05  1187.28E-03  
106000.E-01  4040.00E-05  1037.35E-03  
108000.E-01  3960.00E-05  1155.94E-03  
110000.E-01  4200.00E-05  1132.57E-03  
112000.E-01  3520.00E-05  8463.32E-04  
114000.E-01  4920.00E-05  1081.37E-03  
116000.E-01  6280.00E-05  2006.75E-03  
118000.E-01  7320.00E-05  2173.52E-03  
120000.E-01  3980.00E-05  8591.59E-04  
122000.E-01  7800.00E-06  2116.91E-04  
124000.E-01  1540.00E-05  5174.14E-04  
126000.E-01  9400.00E-06  2165.31E-04  
128000.E-01  1080.00E-05  1217.88E-04  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
