====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 250 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =25.00
 Total Target Vacancies     = 116 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
100010.E-03  4000.00E-07  6926.18E-06  
200010.E-03  0000.00E+00  0000.00E+00  
300010.E-03  8000.00E-07  1870.93E-07  
400010.E-03  0000.00E+00  0000.00E+00  
500010.E-03  0000.00E+00  0000.00E+00  
600010.E-03  4000.00E-07  2047.26E-07  
700010.E-03  0000.00E+00  0000.00E+00  
800010.E-03  4000.00E-07  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  
100001.E-02  2400.00E-06  3933.82E-05  
110001.E-02  8000.00E-07  5895.10E-07  
120001.E-02  4000.00E-07  0000.00E+00  
130001.E-02  8000.00E-07  1465.70E-06  
140001.E-02  1200.00E-06  1397.11E-06  
150001.E-02  3600.00E-06  7863.33E-06  
160001.E-02  3200.00E-06  9345.79E-07  
170001.E-02  8000.00E-07  0000.00E+00  
180001.E-02  1200.00E-06  0000.00E+00  
190001.E-02  3600.00E-06  1257.11E-06  
200001.E-02  8000.00E-07  2647.52E-06  
210001.E-02  1200.00E-06  9011.92E-06  
220001.E-02  4000.00E-07  0000.00E+00  
230001.E-02  3600.00E-06  2813.84E-05  
240001.E-02  6000.00E-06  3616.75E-07  
250001.E-02  1200.00E-06  4728.73E-06  
260001.E-02  1600.00E-06  1067.98E-05  
270001.E-02  1200.00E-06  0000.00E+00  
280001.E-02  1600.00E-06  5911.42E-06  
290001.E-02  1600.00E-06  4085.98E-08  
300001.E-02  2400.00E-06  7875.05E-07  
310001.E-02  8000.00E-07  5383.11E-07  
320001.E-02  5200.00E-06  1140.54E-05  
330001.E-02  3600.00E-06  1000.00E-05  
340001.E-02  3600.00E-06  1031.36E-04  
350001.E-02  2400.00E-06  4542.29E-06  
360001.E-02  2000.00E-06  5234.78E-05  
370001.E-02  2800.00E-06  9274.17E-06  
380001.E-02  8000.00E-07  6705.55E-09  
390001.E-02  5600.00E-06  3153.06E-06  
400001.E-02  4800.00E-06  2659.45E-06  
410001.E-02  3600.00E-06  2948.63E-05  
420001.E-02  4800.00E-06  2534.47E-05  
430001.E-02  4800.00E-06  1734.26E-05  
440001.E-02  1200.00E-06  7868.67E-07  
450001.E-02  4000.00E-06  2716.34E-06  
460001.E-02  4800.00E-06  4623.03E-06  
470001.E-02  8800.00E-06  3100.58E-05  
480001.E-02  2800.00E-06  7047.09E-06  
490001.E-02  2800.00E-06  4198.23E-05  
500001.E-02  4400.00E-06  1302.14E-05  
510001.E-02  4000.00E-06  1184.90E-05  
520001.E-02  8000.00E-06  2660.21E-06  
530001.E-02  6800.00E-06  3927.15E-06  
540001.E-02  3200.00E-06  6566.98E-08  
550001.E-02  4800.00E-06  3658.76E-06  
560001.E-02  2400.00E-06  1402.95E-05  
570001.E-02  3600.00E-06  1324.40E-05  
580001.E-02  1120.00E-05  9739.53E-06  
590001.E-02  6000.00E-06  1364.27E-05  
600001.E-02  8000.00E-06  1137.32E-05  
610001.E-02  9200.00E-06  9157.97E-06  
620001.E-02  1080.00E-05  1357.58E-05  
630001.E-02  3600.00E-06  1507.58E-05  
640001.E-02  8800.00E-06  1397.69E-05  
650001.E-02  5600.00E-06  9565.78E-06  
660001.E-02  6000.00E-06  6402.52E-05  
670001.E-02  6400.00E-06  2181.88E-05  
680001.E-02  8800.00E-06  4339.51E-06  
690001.E-02  1040.00E-05  1218.97E-05  
700001.E-02  8800.00E-06  9170.05E-06  
710001.E-02  9600.00E-06  1660.25E-05  
720001.E-02  1040.00E-05  2213.43E-05  
730001.E-02  1160.00E-05  3336.03E-05  
740001.E-02  3600.00E-06  2119.26E-06  
750001.E-02  2000.00E-06  1721.63E-06  
760001.E-02  1600.00E-06  7056.60E-07  
770001.E-02  8000.00E-07  1444.79E-06  
780001.E-02  3600.00E-06  2331.25E-06  
790001.E-02  4000.00E-07  0000.00E+00  
800001.E-02  1200.00E-06  6006.63E-07  
810001.E-02  3200.00E-06  1463.60E-07  
820001.E-02  4000.00E-07  0000.00E+00  
830001.E-02  1600.00E-06  5222.63E-07  
840001.E-02  3600.00E-06  9664.83E-06  
850001.E-02  2800.00E-06  2337.68E-06  
860001.E-02  2800.00E-06  2680.59E-06  
870001.E-02  4000.00E-06  2408.35E-06  
880001.E-02  0000.00E+00  0000.00E+00  
890001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
910001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
930001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
950001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
970001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
990001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
