====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 600 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =24.89
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100010.E-03  129025.E-07  312684.E-09
200010.E-03  132849.E-07  415460.E-08
300010.E-03  130697.E-07  246738.E-08
400010.E-03  145588.E-07  158719.E-07
500010.E-03  168631.E-07  503475.E-07
600010.E-03  147433.E-07  185229.E-07
700010.E-03  152396.E-07  816760.E-08
800010.E-03  131213.E-07  175809.E-07
900010.E-03  120808.E-07  984965.E-08
100001.E-02  121965.E-07  125143.E-06
110001.E-02  141442.E-07  335609.E-07
120001.E-02  132592.E-07  731006.E-07
130001.E-02  149181.E-07  204679.E-07
140001.E-02  163140.E-07  265355.E-07
150001.E-02  151401.E-07  413335.E-07
160001.E-02  129518.E-07  135326.E-07
170001.E-02  133865.E-07  110251.E-06
180001.E-02  113895.E-07  908306.E-07
190001.E-02  100525.E-07  434237.E-08
200001.E-02  108476.E-07  589425.E-07
210001.E-02  110894.E-07  201080.E-07
220001.E-02  975081.E-08  412462.E-07
230001.E-02  109798.E-07  403433.E-07
240001.E-02  116411.E-07  347835.E-07
250001.E-02  136953.E-07  263064.E-07
260001.E-02  140921.E-07  499577.E-06
270001.E-02  130858.E-07  309460.E-07
280001.E-02  117983.E-07  420313.E-07
290001.E-02  130298.E-07  125609.E-06
300001.E-02  138428.E-07  176170.E-06
310001.E-02  136831.E-07  103277.E-06
320001.E-02  176641.E-07  524959.E-07
330001.E-02  173385.E-07  167895.E-07
340001.E-02  160190.E-07  110678.E-06
350001.E-02  184161.E-07  692975.E-07
360001.E-02  153310.E-07  528334.E-07
370001.E-02  156321.E-07  435137.E-07
380001.E-02  173942.E-07  953501.E-07
390001.E-02  169821.E-07  271168.E-07
400001.E-02  194146.E-07  297447.E-07
410001.E-02  176776.E-07  485809.E-07
420001.E-02  178977.E-07  161305.E-06
430001.E-02  195017.E-07  616622.E-07
440001.E-02  185822.E-07  290746.E-07
450001.E-02  206435.E-07  228293.E-07
460001.E-02  185606.E-07  621405.E-07
470001.E-02  174782.E-07  551958.E-07
480001.E-02  148008.E-07  373442.E-07
490001.E-02  136876.E-07  593630.E-07
500001.E-02  125315.E-07  166467.E-07
510001.E-02  138039.E-07  626019.E-07
520001.E-02  148855.E-07  684998.E-06
530001.E-02  203027.E-07  210211.E-07
540001.E-02  201817.E-07  476677.E-07
550001.E-02  212755.E-07  157229.E-06
560001.E-02  204890.E-07  499720.E-07
570001.E-02  205251.E-07  929146.E-07
580001.E-02  184784.E-07  142930.E-05
590001.E-02  170634.E-07  709230.E-07
600001.E-02  159780.E-07  107707.E-06
610001.E-02  177995.E-07  322441.E-06
620001.E-02  181482.E-07  495125.E-07
630001.E-02  157990.E-07  594265.E-07
640001.E-02  193909.E-07  663406.E-07
650001.E-02  231021.E-07  103525.E-06
660001.E-02  266426.E-07  256132.E-06
670001.E-02  433794.E-07  194951.E-06
680001.E-02  112774.E-06  346031.E-06
690001.E-02  505646.E-07  132259.E-06
700001.E-02  874932.E-07  274786.E-06
710001.E-02  643487.E-07  235273.E-06
720001.E-02  255846.E-07  189670.E-06
730001.E-02  302503.E-07  692872.E-07
740001.E-02  294621.E-07  372459.E-06
750001.E-02  225673.E-07  178198.E-06
760001.E-02  229268.E-07  676459.E-06
770001.E-02  328049.E-07  105678.E-06
780001.E-02  366709.E-07  456601.E-06
790001.E-02  346239.E-07  626250.E-07
800001.E-02  289550.E-07  135849.E-06
810001.E-02  334735.E-07  693386.E-07
820001.E-02  255018.E-07  143904.E-06
830001.E-02  339928.E-07  851928.E-07
840001.E-02  425442.E-07  722236.E-07
850001.E-02  333973.E-07  182069.E-06
860001.E-02  226148.E-07  185086.E-06
870001.E-02  293026.E-07  322258.E-06
880001.E-02  341319.E-07  644967.E-07
890001.E-02  425624.E-07  105038.E-05
900001.E-02  448193.E-07  327892.E-05
910001.E-02  369334.E-07  169773.E-06
920001.E-02  407961.E-07  191275.E-06
930001.E-02  323898.E-07  230046.E-06
940001.E-02  338180.E-07  233900.E-06
950001.E-02  442428.E-07  811283.E-07
960001.E-02  560477.E-07  121765.E-06
970001.E-02  431951.E-07  578181.E-07
980001.E-02  353072.E-07  343228.E-06
990001.E-02  370843.E-07  241645.E-06
100000.E-01  498972.E-07  149583.E-05
