====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 250 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =25.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  1380.44E-04  1386.44E-04
400010.E-03  8802.45E-05  9102.45E-05
600010.E-03  4341.60E-05  4461.60E-05
800010.E-03  1526.02E-04  1544.02E-04
100001.E-02  2457.94E-04  2487.94E-04
120001.E-02  7987.35E-04  8023.35E-04
140001.E-02  8447.33E-04  8471.33E-04
160001.E-02  6032.29E-04  6074.29E-04
180001.E-02  3308.50E-04  3344.50E-04
200001.E-02  4395.42E-04  4431.42E-04
220001.E-02  1159.61E-04  1201.61E-04
240001.E-02  8479.17E-05  8599.17E-05
260001.E-02  1202.54E-03  1215.74E-03
280001.E-02  5003.50E-04  5063.50E-04
300001.E-02  1236.09E-04  1284.09E-04
320001.E-02  4701.20E-04  4767.20E-04
340001.E-02  1247.31E-04  1295.31E-04
360001.E-02  3012.53E-04  3060.53E-04
380001.E-02  1268.91E-03  1283.31E-03
400001.E-02  4828.75E-04  4936.75E-04
420001.E-02  7238.62E-04  7334.62E-04
440001.E-02  8166.89E-04  8232.89E-04
460001.E-02  7088.95E-04  7196.95E-04
480001.E-02  7320.83E-04  7464.83E-04
500001.E-02  2466.94E-03  2485.54E-03
520001.E-02  3731.82E-04  3845.82E-04
540001.E-02  4761.47E-04  4917.47E-04
560001.E-02  1569.31E-03  1581.91E-03
580001.E-02  1007.07E-03  1026.87E-03
600001.E-02  1221.18E-03  1249.38E-03
620001.E-02  1073.66E-03  1094.06E-03
640001.E-02  1724.55E-03  1749.75E-03
660001.E-02  1492.87E-03  1521.67E-03
680001.E-02  1101.68E-03  1128.68E-03
700001.E-02  1795.05E-03  1834.05E-03
720001.E-02  1512.46E-03  1542.46E-03
740001.E-02  1536.78E-03  1555.98E-03
760001.E-02  9517.36E-04  9703.36E-04
780001.E-02  9284.23E-04  9446.23E-04
800001.E-02  6256.05E-04  6370.05E-04
820001.E-02  2173.35E-04  2239.35E-04
840001.E-02  1945.38E-04  2011.38E-04
860001.E-02  2163.00E-04  2205.00E-04
880001.E-02  0000.00E+00  0000.00E+00
900001.E-02  0000.00E+00  0000.00E+00
920001.E-02  0000.00E+00  0000.00E+00
940001.E-02  0000.00E+00  0000.00E+00
960001.E-02  0000.00E+00  0000.00E+00
980001.E-02  0000.00E+00  0000.00E+00
100000.E-01  0000.00E+00  0000.00E+00
102000.E-01  0000.00E+00  0000.00E+00
104000.E-01  0000.00E+00  0000.00E+00
106000.E-01  0000.00E+00  0000.00E+00
108000.E-01  0000.00E+00  0000.00E+00
110000.E-01  0000.00E+00  0000.00E+00
112000.E-01  0000.00E+00  0000.00E+00
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
