====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  2985.96E-02  2985.96E-02
400010.E-03  9515.48E-02  9515.48E-02
600010.E-03  3266.86E-02  3266.86E-02
800010.E-03  5811.26E-02  5811.26E-02
100001.E-02  2823.90E-02  2823.90E-02
120001.E-02  3710.03E-02  3710.03E-02
140001.E-02  1209.69E-02  1209.69E-02
160001.E-02  2519.19E-02  2519.19E-02
180001.E-02  3931.68E-02  3931.68E-02
200001.E-02  4393.01E-02  4393.01E-02
220001.E-02  6414.28E-02  6414.28E-02
240001.E-02  3545.40E-02  3545.40E-02
260001.E-02  5737.40E-02  5737.40E-02
280001.E-02  2365.70E-02  2365.70E-02
300001.E-02  7598.58E-02  7598.58E-02
320001.E-02  2332.11E-02  2332.11E-02
340001.E-02  6264.37E-02  6264.37E-02
360001.E-02  5692.32E-02  5692.32E-02
380001.E-02  6359.11E-02  6359.11E-02
400001.E-02  5671.03E-02  5671.03E-02
420001.E-02  2004.06E-02  2004.06E-02
440001.E-02  2141.39E-01  2141.39E-01
460001.E-02  1319.88E-01  1319.88E-01
480001.E-02  5008.18E-02  5008.18E-02
500001.E-02  1514.62E-01  1514.62E-01
520001.E-02  6318.00E-02  6318.00E-02
540001.E-02  5481.40E-02  5481.40E-02
560001.E-02  1371.42E-01  1371.42E-01
580001.E-02  1034.20E-01  1034.20E-01
600001.E-02  9136.01E-02  9136.01E-02
620001.E-02  7713.62E-02  7713.62E-02
640001.E-02  6641.00E-02  6641.00E-02
660001.E-02  1010.67E-01  1010.67E-01
680001.E-02  1217.26E-01  1217.26E-01
700001.E-02  2208.43E-01  2208.43E-01
720001.E-02  3398.38E-01  3398.38E-01
740001.E-02  2068.75E-01  2068.75E-01
760001.E-02  1730.47E-01  1730.47E-01
780001.E-02  1541.94E-01  1541.94E-01
800001.E-02  9384.01E-02  9384.01E-02
820001.E-02  7445.64E-02  7445.64E-02
840001.E-02  1561.82E-01  1561.82E-01
860001.E-02  2143.28E-01  2143.28E-01
880001.E-02  2108.57E-01  2108.57E-01
900001.E-02  9603.22E-02  9603.22E-02
920001.E-02  6652.31E-02  6652.31E-02
940001.E-02  2309.15E-01  2309.15E-01
960001.E-02  1120.39E-01  1120.39E-01
980001.E-02  1060.73E-01  1060.73E-01
100000.E-01  2439.63E-01  2439.63E-01
102000.E-01  4985.80E-02  4985.80E-02
104000.E-01  2032.15E-01  2032.15E-01
106000.E-01  4379.35E-02  4379.35E-02
108000.E-01  1178.32E-01  1178.32E-01
110000.E-01  1417.90E-01  1417.90E-01
112000.E-01  2259.81E-01  2259.81E-01
114000.E-01  1732.54E-01  1732.54E-01
116000.E-01  5591.20E-02  5591.20E-02
118000.E-01  2180.32E-02  2180.32E-02
120000.E-01  1062.43E-01  1062.43E-01
122000.E-01  1648.17E-01  1648.17E-01
124000.E-01  4969.13E-02  4969.13E-02
126000.E-01  7242.64E-02  7242.64E-02
128000.E-01  4153.43E-02  4153.43E-02
130000.E-01  3083.79E-02  3083.79E-02
132000.E-01  1366.51E-02  1366.51E-02
134000.E-01  7862.32E-02  7862.32E-02
136000.E-01  1186.64E-02  1186.64E-02
138000.E-01  9187.83E-03  9187.83E-03
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
