====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Ni
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000025.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  1905.36E-01  8049.12E-03
400010.E-03  1857.08E-01  3788.29E-02
600010.E-03  1880.34E-01  8559.87E-03
800010.E-03  2034.24E-01  1858.34E-02
100001.E-02  1751.88E-01  7424.92E-03
120001.E-02  1727.83E-01  1040.11E-02
140001.E-02  2055.66E-01  2003.17E-03
160001.E-02  1944.16E-01  5856.49E-03
180001.E-02  1866.38E-01  1064.83E-02
200001.E-02  1695.54E-01  1163.92E-02
220001.E-02  1768.57E-01  1902.69E-02
240001.E-02  1905.20E-01  9128.56E-03
260001.E-02  1771.21E-01  1535.09E-02
280001.E-02  1545.04E-01  5541.11E-03
300001.E-02  1605.00E-01  2586.38E-02
320001.E-02  1879.88E-01  5679.20E-03
340001.E-02  1767.68E-01  2091.51E-02
360001.E-02  1737.02E-01  1635.40E-02
380001.E-02  1636.34E-01  1949.18E-02
400001.E-02  1687.82E-01  1461.39E-02
420001.E-02  1833.42E-01  4878.66E-03
440001.E-02  1826.48E-01  9429.65E-02
460001.E-02  1784.54E-01  4935.39E-02
480001.E-02  1766.10E-01  1209.66E-02
500001.E-02  1767.54E-01  5264.27E-02
520001.E-02  1762.86E-01  1709.99E-02
540001.E-02  1473.83E-01  1599.67E-02
560001.E-02  1690.97E-01  4291.01E-02
580001.E-02  1669.95E-01  2816.46E-02
600001.E-02  1581.40E-01  2900.65E-02
620001.E-02  1599.50E-01  2306.34E-02
640001.E-02  1612.39E-01  1082.58E-02
660001.E-02  1495.39E-01  3955.43E-02
680001.E-02  1752.04E-01  3745.03E-02
700001.E-02  1581.28E-01  8911.63E-02
720001.E-02  1563.59E-01  1559.79E-01
740001.E-02  1434.17E-01  6721.86E-02
760001.E-02  1276.96E-01  5359.53E-02
780001.E-02  1308.19E-01  5405.04E-02
800001.E-02  1246.22E-01  2779.05E-02
820001.E-02  1336.02E-01  1886.44E-02
840001.E-02  1524.70E-01  4285.35E-02
860001.E-02  1125.47E-01  8971.79E-02
880001.E-02  1088.84E-01  6259.47E-02
900001.E-02  9932.08E-02  2833.68E-02
920001.E-02  9951.17E-02  1840.28E-02
940001.E-02  8944.33E-02  9787.97E-02
960001.E-02  8155.23E-02  3219.84E-02
980001.E-02  8569.18E-02  2751.43E-02
100000.E-01  6954.51E-02  8813.97E-02
102000.E-01  6484.04E-02  1394.28E-02
104000.E-01  6487.67E-02  7462.99E-02
106000.E-01  5798.54E-02  1032.61E-02
108000.E-01  5576.61E-02  3411.42E-02
110000.E-01  4893.02E-02  4998.92E-02
112000.E-01  4388.16E-02  8758.99E-02
114000.E-01  3864.65E-02  5391.59E-02
116000.E-01  2464.13E-02  1767.08E-02
118000.E-01  2295.05E-02  5127.53E-03
120000.E-01  2132.71E-02  4066.63E-02
122000.E-01  1495.59E-02  7167.04E-02
124000.E-01  1347.71E-02  1347.93E-02
126000.E-01  1067.66E-02  2230.34E-02
128000.E-01  7844.74E-03  1062.77E-02
130000.E-01  6932.89E-03  1044.98E-02
132000.E-01  5333.32E-03  2934.72E-03
134000.E-01  5031.78E-03  2848.78E-02
136000.E-01  1265.64E-03  3070.38E-03
138000.E-01  3956.23E-04  2038.22E-03
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
