====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  556044.E-06  221250.E-04
400010.E-03  437218.E-06  564932.E-04
600010.E-03  405722.E-06  251828.E-04
800010.E-03  479521.E-06  401360.E-04
100001.E-02  532158.E-06  216907.E-04
120001.E-02  473263.E-06  272694.E-04
140001.E-02  462955.E-06  912493.E-05
160001.E-02  472193.E-06  193414.E-04
180001.E-02  513690.E-06  308718.E-04
200001.E-02  529897.E-06  328008.E-04
220001.E-02  530893.E-06  452391.E-04
240001.E-02  490608.E-06  271399.E-04
260001.E-02  488215.E-06  421805.E-04
280001.E-02  584349.E-06  193581.E-04
300001.E-02  557440.E-06  483647.E-04
320001.E-02  572956.E-06  204144.E-04
340001.E-02  499290.E-06  409476.E-04
360001.E-02  485613.E-06  399886.E-04
380001.E-02  539165.E-06  458782.E-04
400001.E-02  496926.E-06  413757.E-04
420001.E-02  556779.E-06  180986.E-04
440001.E-02  524023.E-06  120254.E-03
460001.E-02  590089.E-06  833471.E-04
480001.E-02  612856.E-06  369713.E-04
500001.E-02  600855.E-06  100342.E-03
520001.E-02  587430.E-06  467515.E-04
540001.E-02  536312.E-06  384529.E-04
560001.E-02  586685.E-06  963172.E-04
580001.E-02  533807.E-06  684804.E-04
600001.E-02  519132.E-06  684473.E-04
620001.E-02  535566.E-06  564925.E-04
640001.E-02  546023.E-06  343680.E-04
660001.E-02  527594.E-06  833563.E-04
680001.E-02  589155.E-06  836183.E-04
700001.E-02  574572.E-06  133086.E-03
720001.E-02  636859.E-06  178593.E-03
740001.E-02  783474.E-06  146461.E-03
760001.E-02  715585.E-06  119610.E-03
780001.E-02  707122.E-06  990615.E-04
800001.E-02  566206.E-06  694994.E-04
820001.E-02  554522.E-06  550553.E-04
840001.E-02  109721.E-05  113293.E-03
860001.E-02  644181.E-06  126436.E-03
880001.E-02  816578.E-06  140959.E-03
900001.E-02  603579.E-06  751932.E-04
920001.E-02  556772.E-06  482317.E-04
940001.E-02  632652.E-06  135151.E-03
960001.E-02  734552.E-06  812626.E-04
980001.E-02  836109.E-06  797291.E-04
100000.E-01  779678.E-06  156434.E-03
102000.E-01  419581.E-06  365603.E-04
104000.E-01  641137.E-06  129326.E-03
106000.E-01  630046.E-06  345154.E-04
108000.E-01  507158.E-06  727734.E-04
110000.E-01  454716.E-06  103267.E-03
112000.E-01  491771.E-06  139280.E-03
114000.E-01  599229.E-06  119227.E-03
116000.E-01  192671.E-06  388557.E-04
118000.E-01  210284.E-06  171169.E-04
120000.E-01  289045.E-06  659280.E-04
122000.E-01  280108.E-06  934533.E-04
124000.E-01  188452.E-06  363644.E-04
126000.E-01  178587.E-06  502633.E-04
128000.E-01  148423.E-06  285933.E-04
130000.E-01  740771.E-07  230217.E-04
132000.E-01  155829.E-06  108950.E-04
134000.E-01  160850.E-06  502879.E-04
136000.E-01  792024.E-07  887384.E-05
138000.E-01  932087.E-07  724809.E-05
140000.E-01  000000.E+00  000000.E+00
142000.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
146000.E-01  000000.E+00  000000.E+00
148000.E-01  000000.E+00  000000.E+00
150000.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
154000.E-01  000000.E+00  000000.E+00
156000.E-01  000000.E+00  000000.E+00
158000.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
162000.E-01  000000.E+00  000000.E+00
164000.E-01  000000.E+00  000000.E+00
166000.E-01  000000.E+00  000000.E+00
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
