====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ni   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
 Total Target Vacancies     = 11742 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2540.00E-05  2658.65E-04  
400010.E-03  3080.00E-05  7205.07E-04  
600010.E-03  3480.00E-05  3007.79E-04  
800010.E-03  3120.00E-05  5018.85E-04  
100001.E-02  2860.00E-05  2579.05E-04  
120001.E-02  3180.00E-05  3305.30E-04  
140001.E-02  3440.00E-05  8758.87E-05  
160001.E-02  3160.00E-05  2258.87E-04  
180001.E-02  3140.00E-05  3772.35E-04  
200001.E-02  3080.00E-05  4044.80E-04  
220001.E-02  3040.00E-05  5702.46E-04  
240001.E-02  3320.00E-05  3271.46E-04  
260001.E-02  3340.00E-05  5268.05E-04  
280001.E-02  3140.00E-05  2241.75E-04  
300001.E-02  3220.00E-05  6100.01E-04  
320001.E-02  3200.00E-05  2380.10E-04  
340001.E-02  3540.00E-05  5071.21E-04  
360001.E-02  3780.00E-05  4947.00E-04  
380001.E-02  3520.00E-05  5737.85E-04  
400001.E-02  3840.00E-05  5116.35E-04  
420001.E-02  3420.00E-05  2043.23E-04  
440001.E-02  3500.00E-05  1565.85E-03  
460001.E-02  3420.00E-05  1073.71E-03  
480001.E-02  3800.00E-05  4515.97E-04  
500001.E-02  4280.00E-05  1293.03E-03  
520001.E-02  4520.00E-05  5759.83E-04  
540001.E-02  3540.00E-05  4759.41E-04  
560001.E-02  5120.00E-05  1230.40E-03  
580001.E-02  3760.00E-05  8720.69E-04  
600001.E-02  3520.00E-05  8748.91E-04  
620001.E-02  3340.00E-05  7174.94E-04  
640001.E-02  3740.00E-05  4178.65E-04  
660001.E-02  4060.00E-05  1067.65E-03  
680001.E-02  4640.00E-05  1065.95E-03  
700001.E-02  4500.00E-05  1727.01E-03  
720001.E-02  4200.00E-05  2335.70E-03  
740001.E-02  5360.00E-05  1895.23E-03  
760001.E-02  5580.00E-05  1535.74E-03  
780001.E-02  4320.00E-05  1273.14E-03  
800001.E-02  4240.00E-05  8820.77E-04  
820001.E-02  4600.00E-05  6861.46E-04  
840001.E-02  7360.00E-05  1430.83E-03  
860001.E-02  4080.00E-05  1642.37E-03  
880001.E-02  6660.00E-05  1809.80E-03  
900001.E-02  4960.00E-05  9502.75E-04  
920001.E-02  3440.00E-05  6056.13E-04  
940001.E-02  4880.00E-05  1751.29E-03  
960001.E-02  5160.00E-05  1029.17E-03  
980001.E-02  6220.00E-05  9959.32E-04  
100000.E-01  5920.00E-05  2023.70E-03  
102000.E-01  2760.00E-05  4569.69E-04  
104000.E-01  5640.00E-05  1666.16E-03  
106000.E-01  4540.00E-05  4123.42E-04  
108000.E-01  3400.00E-05  9327.98E-04  
110000.E-01  3640.00E-05  1338.42E-03  
112000.E-01  3740.00E-05  1817.26E-03  
114000.E-01  4560.00E-05  1539.83E-03  
116000.E-01  1400.00E-05  5027.46E-04  
118000.E-01  1420.00E-05  2128.64E-04  
120000.E-01  2600.00E-05  8526.39E-04  
122000.E-01  2300.00E-05  1221.50E-03  
124000.E-01  2000.00E-05  4640.83E-04  
126000.E-01  1500.00E-05  6543.40E-04  
128000.E-01  1200.00E-05  3687.17E-04  
130000.E-01  7400.00E-06  2991.95E-04  
132000.E-01  1620.00E-05  1292.86E-04  
134000.E-01  1320.00E-05  6565.29E-04  
136000.E-01  5200.00E-06  1125.29E-04  
138000.E-01  8600.00E-06  8761.88E-05  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
